CODEP,DEPARTAMENTOS,Poblacion menor 1 anio,POLIO,POLIO_PCT,DPT,DPT_PCT,BCG,BCG_PCT,HEPATITIS B,HB_PCT,H.i.B.,HBI_PCT,Poblacion ,T.V.,TV_PCT,FIEBRE AMARILLA,FA_PCT
54,NORTE DE SANTANDER,"25,601","25,384", 99.2 ,"25,390", 99.2 ,"25,924", 101.3 ,"25,390", 99.2 ,"25,389  ", 99.2 ,"25,553","24,434", 95.6 ,"24,252", 94.9 
85,PUTUMAYO,"8,042","7,379", 91.8 ,"7,379", 91.8 ,"6,171", 76.7 ,"7,379", 91.8 ,"7,379  ", 91.8 ,"8,004","7,366", 92.0 ,"7,388", 92.3 
63,QUINDIO ,"9,274","8,021", 86.5 ,"8,021", 86.5 ,"6,733", 72.6 ,"8,021", 86.5 ,"8,021  ", 86.5 ,"9,247","8,381", 90.6 ,"6,846", 74.0 
66,RISARALDA,"15,478","13,485", 87.1 ,"13,394", 86.5 ,"13,895", 89.8 ,"13,413", 86.7 ,"13,394  ", 86.5 ,"15,423","13,346", 86.5 ,"13,112", 85.0 
88,SAN ANDRES,"1,275",846, 66.4 ,842, 66.0 ,829, 65.0 ,846, 66.4 ,842  , 66.0 ,"1,280",912, 71.3 ,772, 60.3 
68,SANTANDER,"34,396","33,594", 97.7 ,"33,589", 97.7 ,"30,409", 88.4 ,"33,601", 97.7 ,"33,589  ", 97.7 ,"34,258","32,164", 93.9 ,"31,065", 90.7 
70,SUCRE,"16,920","17,394", 102.8 ," 17,394 ", 102.8 ," 19,607 ", 115.9 ," 17,394 ", 102.8 ," 17,394 ", 102.8 ,"16,872"," 17,515 ", 103.8 ,"13,929", 82.6 
73,TOLIMA,"26,143","24,416", 93.4 ,"24,387", 93.3 ,"26,989", 103.2 ,"24,387", 93.3 ,"24,387  ", 93.3 ,"26,413","24,752", 93.7 ,"24,435", 92.5 
76,VALLE,"72,782","72,000", 98.9 ,"71,725", 98.5 ,"71,805", 98.7 ,"72,245", 99.3 ,"71,725  ", 98.5 ,"72,199","66,461", 92.1 ,"65,931", 91.3 
97,VAUPES,"1,380",786, 57.0 ,656, 47.5 ,"1,161", 84.1 ,749, 54.3 ,656  , 47.5 ,"1,348",805, 59.7 ,730, 54.2 
99,VICHADA,"1,712",847, 49.5 ,849, 49.6 ,"1,345", 78.6 , 846 , 49.4 ,839  , 49.0 ,"1,680","1,186", 70.6 ,868, 51.7 

