ANO,CODIGO DEPARTAMENTO,DEPARTAMENTO,MUNICIPIO,GRUPO POBLACIONAL,BIOLOGICO,META,DOSIS APLICADAS,COBERTURA,TIPO DOSIS,REGION
2018,91.0,91.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,AMAZONAS,1510.0,88.8,Dosis Unica,AMAZONIA
2018,5.0,5.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,ANTIOQUIA,74320.0,95.0,Dosis Unica,ANDINA
2018,81.0,81.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,ARAUCA,5195.0,114.8,Dosis Unica,LLANOS
2018,8.0,8.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,ATLANTICO,20272.0,98.0,Dosis Unica,CARIBE
2018,8001.0,8001.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,BARRANQUILLA,21589.0,99.3,Dosis Unica,CARIBE
2018,11.0,11.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,BOGOTA D.C.,101990.0,97.2,Dosis Unica,ANDINA
2018,13.0,13.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,BOLIVAR,10641.0,49.7,Dosis Unica,CARIBE
2018,13001.0,13001.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,CARTAGENA,19157.0,98.9,Dosis Unica,CARIBE
2018,15.0,15.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,BOYACA,13822.0,95.9,Dosis Unica,ANDINA
2018,17.0,17.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,CALDAS,8759.0,86.1,Dosis Unica,ANDINA
2018,18.0,18.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,CAQUETA,7285.0,92.4,Dosis Unica,AMAZONIA
2018,85.0,85.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,CASANARE,6053.0,82.8,Dosis Unica,LLANOS
2018,19.0,19.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,CAUCA,16596.0,75.1,Dosis Unica,PACIFICO
2018,20.0,20.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,CESAR,22214.0,95.8,Dosis Unica,CARIBE
2018,27.0,27.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,CHOCO,9441.0,87.5,Dosis Unica,PACIFICO
2018,23.0,23.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,CORDOBA,26796.0,83.8,Dosis Unica,CARIBE
2018,25.0,25.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,CUNDINAMARCA,17249.0,49.5,Dosis Unica,ANDINA
2018,94.0,94.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,GUAINIA,1048.0,124.5,Dosis Unica,AMAZONIA
2018,95.0,95.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,GUAVIARE,1331.0,96.5,Dosis Unica,AMAZONIA
2018,41.0,41.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,HUILA,19127.0,95.1,Dosis Unica,ANDINA
2018,44.0,44.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,LA_GUAJIRA,21362.0,101.3,Dosis Unica,CARIBE
2018,47.0,47.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,MAGDALENA,13561.0,77.8,Dosis Unica,CARIBE
2018,47001.0,47001.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,SANTA MARTA,8574.0,94.3,Dosis Unica,CARIBE
2018,50.0,50.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,META,15334.0,95.8,Dosis Unica,LLANOS
2018,52.0,52.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,NARIÑO,18534.0,87.0,Dosis Unica,PACIFICO
2018,54.0,54.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,NORTE_DE_SANTANDER,20619.0,86.8,Dosis Unica,ANDINA
2018,86.0,86.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,PUTUMAYO,4142.0,83.9,Dosis Unica,AMAZONIA
2018,63.0,63.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,QUINDIO,5792.0,97.7,Dosis Unica,ANDINA
2018,66.0,66.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,RISARALDA,10772.0,99.4,Dosis Unica,ANDINA
2018,88.0,88.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,SAN_ANDRES_ISLAS,743.0,83.0,Dosis Unica,CARIBE
2018,68.0,68.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,SANTANDER,28657.0,88.0,Dosis Unica,ANDINA
2018,70.0,70.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,SUCRE,14776.0,99.7,Dosis Unica,CARIBE
2018,73.0,73.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,TOLIMA,15258.0,83.4,Dosis Unica,ANDINA
2018,76.0,76.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,VALLE_DEL_CAUCA,46624.0,90.7,Dosis Unica,PACIFICO
2018,76109.0,76109.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,BUENAVENTURA,4481.0,87.6,Dosis Unica,PACIFICO
2018,97.0,97.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,VAUPES,782.0,94.4,Dosis Unica,AMAZONIA
2018,99.0,99.0,,RECIÉN NACIDO HASTA 11 MESES,BCG,VICHADA,1682.0,91.4,Dosis Unica,LLANOS
2018,,,,RECIÉN NACIDO HASTA 11 MESES,BCG,,,,Dosis Unica,
2018,,,,RECIÉN NACIDO HASTA 11 MESES,BCG,,,,Dosis Unica,
2018,,,,RECIÉN NACIDO HASTA 11 MESES,BCG,,,,Dosis Unica,
2018,,,,RECIÉN NACIDO HASTA 11 MESES,BCG,,,,Dosis Unica,
2018,,,,RECIÉN NACIDO HASTA 11 MESES,BCG,,,,Dosis Unica,
2018,,,,RECIÉN NACIDO HASTA 11 MESES,BCG,,,,Dosis Unica,
2018,91.0,91.0,,RECIÉN NACIDO,HB,AMAZONAS,1371.0,80.6,D. Unica,AMAZONIA
2018,5.0,5.0,,RECIÉN NACIDO,HB,ANTIOQUIA,73602.0,94.1,D. Unica,ANDINA
2018,81.0,81.0,,RECIÉN NACIDO,HB,ARAUCA,5087.0,112.4,D. Unica,LLANOS
2018,8.0,8.0,,RECIÉN NACIDO,HB,ATLANTICO,19429.0,94.0,D. Unica,CARIBE
2018,8001.0,8001.0,,RECIÉN NACIDO,HB,BARRANQUILLA,21588.0,99.3,D. Unica,CARIBE
2018,11.0,11.0,,RECIÉN NACIDO,HB,BOGOTA D.C.,102118.0,97.3,D. Unica,ANDINA
2018,13.0,13.0,,RECIÉN NACIDO,HB,BOLIVAR,10193.0,47.7,D. Unica,CARIBE
2018,13001.0,13001.0,,RECIÉN NACIDO,HB,CARTAGENA,19154.0,98.9,D. Unica,CARIBE
2018,15.0,15.0,,RECIÉN NACIDO,HB,BOYACA,13737.0,95.3,D. Unica,ANDINA
2018,17.0,17.0,,RECIÉN NACIDO,HB,CALDAS,8686.0,85.4,D. Unica,ANDINA
2018,18.0,18.0,,RECIÉN NACIDO,HB,CAQUETA,7070.0,89.7,D. Unica,AMAZONIA
2018,85.0,85.0,,RECIÉN NACIDO,HB,CASANARE,5982.0,81.9,D. Unica,LLANOS
2018,19.0,19.0,,RECIÉN NACIDO,HB,CAUCA,16216.0,73.3,D. Unica,PACIFICO
2018,20.0,20.0,,RECIÉN NACIDO,HB,CESAR,21469.0,92.6,D. Unica,CARIBE
2018,27.0,27.0,,RECIÉN NACIDO,HB,CHOCO,7096.0,65.8,D. Unica,PACIFICO
2018,23.0,23.0,,RECIÉN NACIDO,HB,CORDOBA,26063.0,81.6,D. Unica,CARIBE
2018,25.0,25.0,,RECIÉN NACIDO,HB,CUNDINAMARCA,17132.0,49.1,D. Unica,ANDINA
2018,94.0,94.0,,RECIÉN NACIDO,HB,GUAINIA,868.0,103.1,D. Unica,AMAZONIA
